HomeTeam,AwayTeam,era,HomeGoalsMeanL5Venuedpd,AwayGoalsMeanL5Venuedpd,HomeGoalsConcededL5Venuedpd,AwayGoalsConcededL5Venuedpd,HomeGoalDFMeanL5Venuedpd,AwayGoalDFMeanL5Venuedpd,HomePointsL5Venuedpd,AwayPointsL5Venuedpd,WinStreakL5Home,WinStreakL5Away,HomeOdds,DrawOdds,AwayOdds,HomeProb,DrawProb,AwayProb,MatchBalance,HomeGoalsConcededL5,HomeGoalsMeanL5,HomeShotsOTMeanL10,HomeGoalDFMeanL10,HomeGoalDFMeanL5,HomePointsMeanL5,HomePointsMeanL10,HomeGoalsMeanL10,HomeGoalsConcededL10,Homewin_streak,HomeH2HL5,HomeRedCardL2,AwayGoalsConcededL5,AwayGoalsMeanL5,AwayShotsOTMeanL10,AwayGoalDFMeanL10,AwayGoalDFMeanL5,AwayPointsMeanL5,AwayPointsMeanL10,AwayGoalsMeanL10,AwayGoalsConcededL10,Awaywin_streak,AwayH2HL5,AwayRedCardL2,HomeAttackVsAwayDefense,AwayAttackVsHomeDefense,GoalFormDiffL5,FormDiff
Real Madrid,Cadiz,0,1.4,1.6,1.6,1.4,-0.2,-0.2,1.4,1.0,1,1,1.25,5.0,13.0,0.7428571428571429,0.18571428571428572,0.07142857142857144,0.6714285714285715,1.0,1.6,5.0,0.4,0.6,1.6,1.8,1.4,1.0,1,3.0,0.0,1.2,0.8,3.5,-0.5,-0.4,1.2,0.8,0.7,1.2,2,0.0,0.5,0.40000000000000013,-0.19999999999999996,1.0,0.40000000000000013
Zaragoza,Ath Madrid,0,1.6,1.2,1.2,1.6,0.4,-0.6,2.0,0.4,3,0,2.1,3.25,3.4,0.44173495902458526,0.28542874275434743,0.27283629822106736,0.1688986608035179,1.0,2.2,4.7,0.4,1.2,2.6,1.8,1.4,1.0,3,1.0,0.0,1.2,0.8,3.4,-0.3,-0.4,0.6,0.7,0.8,1.1,0,1.0,0.0,1.0000000000000002,-0.19999999999999996,1.6,2.0
Barcelona,Alaves,0,3.0,0.6,0.6,3.0,2.4,0.0,3.0,1.4,7,1,1.14,6.5,21.0,0.8132260947274352,0.14262734584450404,0.04414655942806076,0.7690795352993745,0.8,2.2,6.8,2.2,1.4,3.0,3.0,2.8,0.6,12,1.0,0.5,1.4,0.6,4.5,-0.7,-0.8,0.8,0.8,0.8,1.5,1,1.0,0.0,0.8000000000000003,-0.20000000000000007,2.2,2.2
Betis,Valencia,0,1.0,0.6,0.6,1.0,0.4,0.6,1.6,2.0,2,0,2.9,3.2,2.37,0.3195012006572019,0.28954796309558917,0.39095083624720894,0.07144963559000705,0.6,1.0,4.0,-0.2,0.4,1.6,1.0,0.8,1.0,1,0.0,0.0,0.2,1.4,5.4,1.0,1.2,2.2,2.1,1.4,0.4,1,3.0,0.0,0.8,0.7999999999999999,-0.7999999999999999,-0.6000000000000001
Getafe,Espanol,0,1.2,1.0,1.0,1.2,0.2,0.0,1.6,1.6,0,2,2.25,3.2,3.1,0.41170367296119526,0.28947914505084044,0.2988171819879643,0.11288649097323095,1.2,0.8,3.8,-0.5,-0.4,0.8,0.8,0.8,1.3,0,3.0,0.5,1.0,1.2,3.7,-0.1,0.2,1.6,1.3,1.1,1.2,1,0.0,0.5,-0.19999999999999996,0.0,-0.6000000000000001,-0.8
La Coruna,Mallorca,0,0.6,1.2,1.2,0.6,-0.6,-1.0,1.2,0.6,0,0,1.44,4.0,7.5,0.6443298969072165,0.23195876288659795,0.12371134020618557,0.520618556701031,1.0,1.4,4.7,0.6,0.4,1.8,1.9,1.4,0.8,0,3.0,0.0,2.0,0.8,4.0,-0.5,-1.2,0.4,0.9,1.0,1.5,0,0.0,0.0,-0.6000000000000001,-0.19999999999999996,1.6,1.4
Malaga,Celta,0,0.8,1.4,1.4,0.8,-0.6,-1.0,0.8,0.4,0,0,2.5,3.2,2.75,0.3717001055966209,0.29039070749736007,0.337909186906019,0.03379091869060191,1.6,0.4,3.7,-0.6,-1.2,0.4,0.7,1.0,1.6,0,0.0,1.0,1.4,0.4,3.7,-0.4,-1.0,0.8,1.4,0.9,1.3,0,3.0,0.0,-0.9999999999999999,-1.2000000000000002,-0.19999999999999996,-0.4
Santander,Sevilla,0,1.0,1.4,1.4,1.0,-0.4,-0.4,1.2,0.8,1,0,2.6,3.2,2.62,0.3565232182343936,0.28967511481544483,0.3538016669501616,0.0027215512842320155,0.8,1.4,3.9,-0.3,0.6,2.2,1.4,1.2,1.5,1,0.0,1.0,2.0,1.8,5.2,0.0,-0.2,1.2,1.4,1.3,1.3,0,3.0,0.0,-0.6000000000000001,1.0,0.8,1.0000000000000002
Sociedad,Ath Bilbao,0,1.2,1.6,1.6,1.2,-0.4,-0.2,0.8,1.0,0,0,2.2,3.2,3.25,0.422936152907686,0.29076860512403413,0.28629524196827977,0.13664091093940622,1.6,1.0,4.0,-1.1,-0.6,0.6,0.5,1.1,2.2,0,0.0,0.0,1.6,1.4,3.0,-0.2,-0.2,0.8,1.0,1.1,1.3,0,3.0,0.0,-0.6000000000000001,-0.20000000000000018,-0.39999999999999997,-0.20000000000000007
Villarreal,Osasuna,0,0.6,0.6,0.6,0.6,0.0,0.0,1.6,1.6,0,0,1.8,3.4,4.33,0.5141081156586115,0.2721748847604414,0.21371699958094703,0.30039111607766444,0.6,1.0,5.4,0.3,0.4,1.6,1.6,0.9,0.6,0,0.0,0.5,1.0,1.0,4.8,0.5,0.0,1.6,2.1,1.4,0.9,0,3.0,0.0,0.0,0.4,0.4,0.0
