MatchDate,Season,Team,Opponent,Venue,Shots,GoalsFor,GoalsAgainst,Result,RedCard
01/03/17,1617,Alaves,Granada,Away,5,1,2,H,2
01/03/18,1718,Alaves,Levante,Home,5,1,0,H,1
01/04/18,1718,Alaves,Espanol,Away,4,0,0,D,0
01/05/2021,2021,Alaves,Eibar,Away,2,0,3,H,0
01/07/2020,1920,Alaves,Granada,Home,4,0,2,A,0
01/09/2024,2425,Alaves,Las Palmas,Home,5,2,0,H,0
01/10/16,1617,Alaves,Sevilla,Away,1,1,2,H,0
01/10/2021,2122,Alaves,Ath Bilbao,Away,5,0,1,H,0
01/10/2023,2324,Alaves,Osasuna,Home,3,0,2,A,1
01/11/2024,2425,Alaves,Mallorca,Home,3,1,0,H,0
02/01/2022,2122,Alaves,Sociedad,Home,5,1,1,D,0
02/01/2024,2324,Alaves,Sociedad,Away,2,1,1,D,0
02/02/2020,1920,Alaves,Sevilla,Away,3,1,1,D,0
02/02/2025,2425,Alaves,Barcelona,Away,0,0,1,H,0
02/03/2019,1819,Alaves,Villarreal,Away,2,2,1,A,0
02/03/2025,2425,Alaves,Mallorca,Away,7,1,1,D,0
02/04/06,506,Alaves,Ath Bilbao,Home,2,0,0,D,0
02/04/17,1617,Alaves,Real Madrid,Away,3,0,3,H,0
02/04/2022,2122,Alaves,Ath Madrid,Away,1,1,4,H,0
02/05/2026,2526,Alaves,Ath Bilbao,Home,4,2,4,A,0
02/09/2018,1819,Alaves,Espanol,Home,5,2,1,H,0
02/09/2023,2324,Alaves,Valencia,Home,1,1,0,H,0
02/10/05,506,Alaves,Santander,Away,3,2,1,A,0
02/11/2025,2526,Alaves,Espanol,Home,4,2,1,H,1
02/12/2018,1819,Alaves,Sevilla,Home,3,1,1,D,0
03/01/2021,2021,Alaves,Ath Madrid,Home,1,1,2,A,1
03/02/18,1718,Alaves,Celta,Home,3,2,1,H,0
03/02/2019,1819,Alaves,Real Madrid,Away,1,0,3,H,0
03/02/2024,2324,Alaves,Barcelona,Home,2,1,3,A,0
03/05/06,506,Alaves,Betis,Home,5,2,0,H,1
03/05/2025,2425,Alaves,Ath Madrid,Home,2,0,0,D,0
03/11/2019,1920,Alaves,Osasuna,Away,3,2,4,H,0
03/12/2021,2122,Alaves,Granada,Away,2,1,2,H,0
03/12/2023,2324,Alaves,Mallorca,Away,4,0,0,D,0
04/01/2026,2526,Alaves,Oviedo,Home,7,1,1,D,1
04/03/06,506,Alaves,Villarreal,Away,2,2,3,H,0
04/03/18,1718,Alaves,Sociedad,Away,1,1,2,H,0
04/03/2022,2122,Alaves,Sevilla,Home,2,0,0,D,0
