FullTimeResult,FullTimeHomeGoals,FullTimeAwayGoals
H,3,1
A,0,2
H,2,0
A,0,2
H,5,0
D,2,2
A,0,2
A,2,3
D,3,3
H,2,1
D,1,1
H,1,0
H,3,2
H,3,1
A,1,2
H,3,1
A,0,3
A,0,2
H,2,0
D,2,2
A,0,1
H,2,1
H,4,0
H,2,1
H,4,3
A,0,1
D,1,1
D,2,2
A,1,3
A,0,1
A,0,2
A,0,4
D,1,1
H,1,0
D,1,1
A,0,2
H,1,0
A,0,1
H,1,0
H,3,2
H,5,1
H,3,0
H,1,0
H,4,0
A,1,2
A,0,1
A,0,2
A,1,3
A,0,3
D,1,1
H,5,0
A,0,2
D,2,2
D,1,1
H,2,0
H,2,0
H,5,0
H,2,1
A,1,2
D,1,1
H,3,2
H,2,1
H,3,2
H,2,0
H,2,0
H,1,0
D,0,0
D,0,0
H,2,1
A,1,3
H,2,0
A,0,1
D,0,0
A,1,2
D,1,1
D,1,1
H,2,1
H,1,0
H,2,1
H,2,1
A,1,2
A,0,2
D,1,1
D,1,1
H,2,1
D,0,0
A,2,4
A,0,1
D,0,0
A,0,1
H,3,1
H,2,0
D,1,1
D,1,1
H,1,0
D,1,1
H,1,0
H,1,0
H,2,1
A,0,1
H,1,0
D,0,0
A,1,2
H,1,0
H,4,0
H,2,1
D,0,0
H,2,0
D,1,1
D,0,0
D,1,1
H,3,0
A,0,1
D,0,0
A,0,3
H,2,1
H,2,0
D,0,0
A,0,4
H,5,3
D,1,1
A,1,2
D,1,1
A,0,1
A,1,2
D,1,1
D,1,1
D,2,2
D,1,1
D,1,1
H,1,0
D,0,0
D,0,0
H,1,0
A,1,2
H,4,0
D,1,1
D,1,1
A,0,2
H,1,0
A,0,1
H,4,0
A,0,2
A,0,3
D,1,1
H,2,0
A,0,1
H,2,1
A,1,3
A,0,2
D,1,1
H,1,0
A,0,1
D,1,1
A,2,3
A,0,1
A,1,2
H,3,0
D,1,1
D,2,2
H,2,1
H,3,0
H,2,1
A,1,2
A,0,1
H,1,0
H,2,0
A,0,1
A,2,3
A,0,2
H,2,0
D,1,1
H,2,1
D,3,3
D,2,2
H,3,1
H,2,1
A,1,2
H,3,0
H,2,0
H,3,2
H,3,1
H,1,0
H,5,0
D,1,1
H,1,0
H,1,0
H,2,1
H,4,3
H,3,1
H,2,1
A,0,1
D,1,1
H,3,2
A,0,2
D,0,0
A,2,3
A,0,1
H,3,0
H,3,0
H,1,0
D,0,0
A,1,3
H,3,0
H,2,0
H,3,2
H,2,0
H,2,0
H,2,0
A,0,3
H,2,1
A,1,4
A,0,1
H,1,0
H,3,2
A,0,2
D,1,1
H,2,1
D,0,0
A,1,3
D,0,0
H,2,0
A,1,2
D,1,1
D,1,1
H,1,0
H,1,0
D,1,1
A,1,3
D,0,0
A,0,1
H,3,1
H,3,2
H,1,0
H,2,1
A,0,1
D,2,2
D,0,0
H,2,0
H,1,0
H,1,0
A,0,1
A,0,1
A,1,2
H,2,0
D,1,1
A,0,1
D,1,1
D,0,0
H,3,1
H,3,2
H,2,0
D,1,1
A,1,2
D,0,0
H,3,1
D,1,1
D,0,0
A,1,4
D,1,1
H,3,1
H,1,0
H,3,1
H,3,0
H,3,2
A,0,1
A,1,4
D,0,0
H,1,0
D,1,1
H,4,0
H,4,1
A,0,1
D,1,1
D,1,1
A,1,3
A,0,1
H,2,1
D,0,0
D,2,2
H,2,1
D,0,0
A,1,2
H,1,0
H,2,1
A,0,2
H,4,0
H,3,0
D,1,1
A,1,2
D,1,1
A,0,2
A,1,2
A,0,1
H,1,0
A,0,1
A,1,4
H,3,1
D,0,0
H,2,1
H,4,0
D,0,0
A,0,1
D,1,1
H,2,1
H,2,1
A,1,3
H,2,0
A,0,1
H,1,0
D,1,1
H,3,1
A,0,1
A,1,3
H,5,1
H,1,0
H,1,0
A,1,2
D,0,0
H,1,0
A,0,1
H,1,0
A,0,1
D,0,0
D,1,1
D,1,1
D,1,1
H,1,0
H,3,1
H,2,1
H,2,0
H,4,0
A,2,4
H,2,1
A,0,2
D,1,1
H,3,1
A,1,2
H,1,0
A,1,2
D,1,1
D,0,0
A,0,1
H,2,1
H,1,0
D,0,0
D,0,0
A,1,2
H,2,1
H,2,1
A,0,2
A,2,3
H,2,0
A,0,2
H,1,0
H,3,0
D,0,0
H,1,0
H,3,1
H,4,1
H,1,0
H,2,1
D,0,0
H,3,1
H,2,0
A,0,1
D,1,1
A,0,1
H,3,0
D,0,0
D,2,2
D,0,0
D,1,1
D,0,0
A,0,2
H,2,1
H,2,1
H,1,0
H,1,0
H,1,0
H,3,2
D,1,1
H,3,1
A,0,1
D,1,1
A,0,2
D,3,3
A,0,2
H,2,0
D,1,1
D,1,1
D,1,1
H,1,0
D,1,1
D,1,1
H,3,1
A,0,2
A,0,4
H,2,0
A,0,3
D,1,1
H,1,0
H,2,0
H,2,0
D,1,1
H,1,0
H,2,1
D,3,3
H,1,0
H,3,2
H,5,4
D,0,0
D,1,1
A,1,2
D,1,1
D,2,2
H,1,0
H,1,0
A,0,1
H,1,0
H,1,0
D,1,1
H,2,0
H,2,0
H,4,2
D,0,0
H,2,1
A,0,1
H,2,1
H,1,0
H,1,0
H,1,0
H,3,0
H,1,0
D,1,1
H,2,0
H,2,1
H,2,0
H,2,0
H,2,0
H,4,2
H,4,1
D,1,1
H,1,0
D,2,2
H,1,0
D,0,0
H,2,0
A,1,4
H,1,0
A,0,3
H,1,0
A,0,3
D,2,2
D,0,0
H,3,1
A,0,2
A,1,2
A,0,2
H,2,1
H,2,0
H,3,1
H,3,2
D,0,0
H,1,0
D,0,0
H,4,3
H,2,1
A,0,2
H,2,0
A,1,3
A,1,4
A,1,2
D,1,1
D,1,1
A,1,4
D,1,1
A,0,1
H,4,3
A,0,6
A,1,5
A,1,2
A,1,4
A,2,3
H,3,1
H,2,1
H,3,1
A,2,3
H,1,0
H,1,0
H,2,1
A,0,2
H,2,0
A,0,1
A,2,3
H,3,1
D,2,2
H,3,1
D,0,0
D,0,0
A,2,3
A,0,5
D,2,2
H,4,2
A,2,5
A,0,1
A,0,1
D,1,1
A,0,2
D,3,3
H,3,1
H,2,1
A,1,5
H,2,0
A,1,2
A,1,3
H,2,1
H,4,1
D,0,0
H,3,0
D,1,1
D,0,0
A,0,3
D,1,1
D,1,1
H,3,1
D,2,2
D,1,1
A,0,5
D,1,1
H,1,0
H,4,1
D,0,0
A,0,1
H,1,0
H,1,0
H,2,1
H,2,1
A,1,2
H,2,1
A,1,2
H,4,0
D,0,0
A,2,3
H,2,1
A,0,2
H,4,1
H,4,1
A,0,2
A,0,2
H,2,0
H,2,0
A,1,4
A,0,1
H,1,0
A,0,1
H,1,0
H,3,0
H,2,0
A,1,2
H,3,0
H,4,2
H,3,2
H,2,0
A,0,1
H,3,0
H,3,1
A,0,2
A,2,4
H,2,1
H,4,0
D,1,1
A,0,2
D,0,0
D,2,2
H,3,1
H,4,1
H,3,0
H,2,0
A,0,1
H,4,3
A,0,3
H,2,0
D,1,1
D,0,0
A,1,5
H,3,0
H,2,0
A,0,2
H,2,0
A,3,4
H,3,0
A,0,2
D,1,1
H,2,0
H,1,0
H,3,2
H,4,3
H,2,1
A,0,1
H,2,1
H,3,0
A,1,2
D,2,2
H,4,3
A,1,2
H,1,0
D,1,1
D,1,1
H,3,1
A,0,2
H,2,1
A,1,2
H,2,1
A,0,3
D,1,1
A,0,1
D,0,0
D,3,3
A,0,1
H,3,1
A,0,2
H,2,1
H,1,0
H,1,0
A,0,3
A,1,3
D,1,1
D,0,0
H,2,0
D,0,0
D,2,2
H,4,1
A,1,2
A,0,1
A,0,1
H,3,1
D,1,1
H,3,0
A,0,2
H,3,0
H,1,0
D,0,0
H,2,0
A,0,3
H,2,0
H,1,0
H,3,2
A,0,2
A,0,2
H,4,3
D,2,2
H,3,0
H,3,2
H,1,0
A,0,2
H,1,0
D,1,1
D,2,2
H,2,0
H,2,1
H,3,1
H,2,1
D,2,2
A,1,3
A,0,1
A,2,3
H,3,2
H,3,1
A,1,2
D,1,1
H,1,0
H,2,0
A,0,1
D,1,1
H,1,0
A,0,1
D,1,1
A,1,2
A,0,2
D,1,1
H,1,0
D,1,1
D,1,1
A,0,1
H,1,0
A,1,2
D,0,0
H,1,0
H,7,0
A,0,2
H,3,1
H,2,1
A,2,4
A,1,2
H,3,2
D,1,1
H,2,1
D,0,0
A,1,2
H,1,0
D,0,0
D,1,1
H,5,0
A,1,2
H,5,1
H,2,0
D,1,1
A,0,1
H,3,1
A,0,1
H,1,0
H,4,2
H,2,0
H,2,1
A,2,3
D,0,0
A,0,1
H,2,1
D,3,3
H,4,0
D,1,1
H,2,1
H,2,1
H,2,0
A,1,2
H,7,1
A,0,3
H,2,1
H,3,0
H,2,1
D,2,2
H,4,2
A,1,2
A,1,2
H,1,0
D,2,2
H,3,0
H,2,1
H,2,1
D,0,0
H,2,0
H,1,0
A,1,2
D,1,1
A,2,3
A,0,1
H,2,0
A,1,2
H,4,1
H,1,0
H,4,0
H,3,2
H,3,0
H,2,1
A,0,3
D,1,1
H,3,1
H,3,1
A,0,3
H,2,1
A,0,2
D,1,1
A,0,1
A,1,3
A,0,3
H,2,0
H,1,0
H,1,0
D,0,0
A,0,3
H,6,3
D,2,2
A,1,2
H,1,0
A,0,1
A,0,1
D,0,0
H,3,0
A,2,3
H,1,0
D,1,1
A,1,4
H,3,0
D,0,0
A,1,3
H,5,1
H,3,1
A,1,4
A,0,1
A,0,2
H,2,0
H,2,0
D,0,0
H,3,0
H,2,0
H,3,0
H,1,0
H,3,1
D,1,1
A,0,1
D,1,1
H,3,0
H,1,0
H,2,0
H,2,0
H,3,2
A,1,2
D,1,1
H,6,0
A,1,2
D,1,1
H,1,0
A,0,3
A,0,2
H,4,1
D,1,1
H,2,1
H,1,0
H,4,2
A,1,2
A,0,2
D,0,0
D,2,2
H,2,0
A,1,5
H,2,1
A,2,3
A,0,2
D,0,0
A,0,2
H,1,0
A,3,5
H,1,0
A,1,3
D,1,1
A,0,2
H,3,2
H,5,2
D,1,1
H,4,1
H,3,1
H,3,0
H,1,0
D,1,1
D,1,1
A,1,3
A,0,1
H,4,0
H,2,1
D,1,1
H,2,1
A,0,1
H,1,0
D,1,1
D,0,0
D,2,2
D,0,0
H,4,0
D,1,1
H,2,0
D,0,0
D,0,0
A,0,2
H,1,0
H,2,0
H,2,0
A,1,2
H,3,2
D,0,0
A,0,2
D,1,1
H,2,0
A,1,2
A,1,2
H,4,2
A,1,2
A,0,1
H,1,0
A,0,1
H,6,1
H,2,1
D,2,2
A,0,1
D,2,2
H,4,0
A,0,1
D,0,0
A,1,2
A,0,1
A,0,1
H,3,0
H,2,1
D,0,0
D,1,1
H,5,0
A,0,2
D,4,4
D,1,1
H,3,2
A,0,1
H,3,0
H,1,0
A,1,4
H,2,0
A,1,4
A,2,4
H,3,2
D,1,1
A,0,3
D,1,1
H,1,0
H,6,0
H,4,3
H,1,0
H,2,1
D,0,0
H,1,0
D,3,3
A,0,3
H,1,0
A,0,2
H,2,1
H,2,0
H,4,1
H,3,1
A,0,2
D,2,2
D,0,0
A,0,3
H,1,0
D,1,1
H,3,1
D,2,2
H,3,1
H,3,0
H,3,1
A,0,3
H,3,0
A,1,2
H,4,2
H,3,2
H,4,1
A,0,1
H,4,0
D,3,3
D,1,1
A,3,4
D,3,3
A,2,3
H,2,0
D,1,1
H,2,0
H,2,1
H,1,0
H,3,0
H,1,0
H,2,0
H,4,1
D,1,1
A,2,3
H,1,0
A,0,1
H,4,1
D,0,0
H,5,2
D,1,1
A,1,2
H,3,1
H,3,1
H,1,0
D,1,1
A,1,2
H,1,0
D,1,1
A,0,1
A,1,3
D,3,3
A,2,3
D,1,1
D,2,2
A,0,3
A,1,2
A,2,3
H,5,0
D,1,1
H,3,2
A,0,1
H,4,0
H,3,1
A,1,3
H,2,0
D,1,1
H,4,1
H,2,1
H,5,1
D,1,1
H,3,1
H,1,0
H,1,0
A,0,2
D,1,1
H,3,2
A,0,2
A,1,2
H,3,2
H,1,0
H,1,0
H,3,0
D,1,1
D,2,2
A,1,2
H,1,0
A,1,2
H,3,1
D,1,1
H,3,2
D,1,1
H,1,0
A,0,3
H,2,1
H,2,1
D,1,1
D,2,2
D,0,0
H,3,2
D,1,1
D,1,1
A,0,2
A,0,1
D,1,1
A,0,4
H,1,0
A,1,2
H,6,1
H,2,1
D,1,1
A,1,3
H,2,0
H,1,0
D,1,1
D,1,1
A,1,2
A,0,2
H,2,1
H,4,3
D,2,2
A,0,2
A,0,1
D,1,1
A,0,1
A,1,2
H,1,0
D,1,1
H,2,0
A,1,2
H,5,3
D,3,3
H,2,1
A,1,2
A,2,3
H,2,1
A,2,5
D,1,1
H,1,0
H,3,2
H,5,0
D,2,2
D,0,0
H,3,2
A,0,2
D,3,3
H,4,1
H,2,0
H,3,0
A,0,1
H,1,0
H,2,1
D,1,1
H,2,1
H,6,0
H,2,0
A,0,1
A,0,1
A,0,1
H,3,0
H,2,1
D,3,3
A,2,4
H,3,1
A,0,2
H,4,1
H,2,0
A,0,2
A,2,3
A,0,1
H,2,0
A,2,3
D,0,0
H,2,0
A,1,2
H,2,1
A,0,1
H,3,0
A,0,1
D,1,1
A,0,1
H,2,1
H,2,0
H,1,0
H,3,1
D,0,0
H,3,2
A,1,2
H,4,0
A,1,2
H,2,0
A,2,3
H,2,0
H,5,1
A,0,3
H,2,1
H,2,1
D,1,1
D,2,2
D,0,0
A,2,4
A,1,2
A,2,4
H,3,1
H,2,1
H,2,0
H,2,0
A,2,6
A,0,2
D,1,1
A,0,2
A,1,2
H,2,1
H,1,0
H,3,0
A,0,2
H,1,0
H,3,1
H,3,0
D,0,0
A,1,2
H,1,0
H,3,1
D,3,3
H,3,2
H,3,0
D,1,1
D,0,0
H,3,2
H,2,1
H,1,0
H,2,0
H,1,0
H,2,1
H,1,0
H,3,2
A,1,2
H,1,0
H,3,1
A,0,1
A,1,4
H,1,0
A,0,1
D,1,1
A,0,3
A,1,3
H,3,0
D,1,1
A,2,3
H,2,0
D,1,1
H,3,0
A,0,2
H,2,1
D,1,1
H,2,1
H,3,2
D,0,0
H,1,0
H,3,0
D,1,1
A,1,4
H,2,0
H,3,0
D,1,1
A,0,3
A,0,2
H,4,1
D,1,1
A,2,4
H,1,0
H,1,0
H,5,2
A,2,3
A,1,2
A,0,2
H,3,2
H,1,0
D,2,2
A,1,2
H,2,0
A,1,4
A,0,2
A,1,2
D,2,2
H,3,1
H,2,1
A,0,4
A,0,2
D,2,2
H,1,0
H,3,0
H,3,0
H,1,0
D,2,2
H,2,1
H,1,0
H,2,1
A,0,1
H,2,1
H,4,1
D,2,2
D,0,0
H,4,2
D,0,0
H,1,0
A,1,2
A,1,2
H,3,1
H,3,0
D,2,2
D,1,1
D,0,0
D,0,0
H,2,1
H,4,0
D,1,1
H,2,0
H,6,1
A,0,3
H,1,0
D,1,1
H,2,0
D,1,1
D,1,1
A,0,1
H,1,0
H,2,1
A,0,2
A,2,3
H,4,2
H,2,0
A,0,2
H,3,2
H,1,0
H,3,1
H,1,0
D,1,1
H,2,1
H,3,1
A,1,3
D,1,1
A,0,2
H,3,1
D,2,2
H,1,0
D,1,1
A,1,4
H,4,0
H,1,0
A,0,1
A,0,1
D,1,1
H,4,2
A,1,3
A,1,2
A,0,4
D,1,1
H,4,1
H,3,2
A,1,2
H,1,0
A,2,3
A,0,1
D,1,1
D,1,1
A,1,2
A,0,1
H,2,0
H,6,0
A,1,2
H,2,0
D,0,0
H,2,1
H,2,1
H,2,0
H,1,0
H,2,1
D,1,1
H,1,0
H,2,0
D,0,0
D,2,2
D,0,0
A,0,4
A,1,2
D,1,1
H,2,0
H,1,0
D,1,1
H,1,0
H,2,1
H,1,0
H,4,0
H,2,0
H,3,2
H,1,0
H,2,0
D,1,1
H,4,1
A,0,3
H,1,0
H,3,1
D,1,1
H,1,0
H,2,0
A,0,1
H,4,2
H,1,0
A,1,3
A,0,1
H,2,1
A,0,2
D,1,1
H,2,1
D,0,0
A,0,2
A,1,3
H,2,1
H,3,0
H,2,0
H,2,1
H,3,1
H,3,2
D,0,0
H,1,0
H,1,0
D,1,1
A,0,3
D,1,1
H,2,1
H,2,1
H,2,0
D,2,2
A,0,3
H,1,0
D,1,1
H,1,0
H,2,1
H,4,0
A,1,3
D,1,1
H,2,1
H,6,2
H,1,0
H,4,1
A,1,3
H,2,1
A,0,2
A,1,5
H,2,1
H,4,1
A,0,2
D,0,0
H,3,2
A,1,2
H,1,0
D,1,1
D,2,2
H,3,1
H,3,2
D,1,1
D,0,0
H,3,0
D,0,0
H,2,0
A,2,4
D,0,0
H,3,0
D,1,1
D,0,0
H,1,0
H,3,0
D,0,0
H,4,1
A,1,4
H,2,0
H,1,0
H,2,1
A,0,2
H,3,1
D,2,2
H,2,0
H,2,0
H,4,1
A,1,3
H,2,0
A,2,4
D,1,1
H,2,1
D,0,0
H,1,0
H,2,0
D,0,0
D,2,2
H,1,0
A,2,4
H,2,0
D,1,1
A,0,1
H,3,0
D,0,0
A,1,3
H,1,0
H,3,2
H,3,0
H,3,0
H,4,3
H,3,0
H,4,1
H,2,0
H,3,0
A,0,2
D,2,2
H,3,0
D,1,1
D,1,1
A,0,2
A,1,2
A,0,2
D,0,0
H,1,0
A,0,1
H,4,1
H,3,0
D,1,1
H,3,2
H,2,0
A,0,2
H,2,1
H,3,0
A,1,2
H,3,0
D,2,2
H,3,1
D,1,1
A,1,2
H,2,0
D,0,0
H,3,0
H,2,1
D,2,2
H,3,2
H,2,0
D,0,0
D,0,0
D,0,0
H,2,0
H,3,1
H,1,0
A,1,2
A,0,2
A,1,2
D,1,1
H,3,1
A,0,1
H,4,3
D,0,0
H,2,1
A,1,4
D,0,0
A,0,1
D,1,1
A,0,2
H,2,1
A,1,3
H,3,2
H,3,1
H,4,2
H,4,1
D,1,1
H,3,1
A,1,5
H,1,0
A,1,4
H,3,1
H,3,1
D,1,1
H,2,1
H,2,1
H,1,0
H,5,1
A,2,3
D,1,1
D,2,2
H,2,1
H,2,0
H,3,2
D,3,3
H,2,0
H,2,0
A,2,3
A,0,3
H,4,0
D,1,1
D,1,1
H,2,0
H,1,0
A,1,4
A,1,3
H,1,0
D,0,0
A,0,3
D,0,0
H,3,1
D,0,0
H,4,0
A,1,2
H,1,0
H,1,0
H,4,1
D,0,0
H,2,0
H,4,0
A,3,5
D,2,2
A,1,2
H,2,0
H,1,0
A,1,2
A,1,2
A,1,2
H,2,0
D,2,2
H,3,0
H,3,1
H,3,0
A,0,1
H,1,0
D,1,1
H,1,0
D,1,1
A,0,2
A,1,3
D,0,0
A,0,2
H,1,0
H,1,0
A,0,2
H,2,0
A,0,1
A,2,3
H,2,1
D,2,2
H,1,0
D,1,1
D,1,1
D,1,1
H,6,1
H,3,1
H,2,0
H,2,0
H,2,1
A,1,4
H,1,0
H,2,0
A,0,1
H,2,1
D,0,0
H,2,1
H,6,1
A,1,2
A,0,2
H,2,1
H,3,0
H,3,0
H,4,3
H,2,0
H,3,0
H,5,0
D,1,1
H,3,0
D,1,1
H,3,0
A,1,2
H,4,1
D,1,1
H,2,1
H,1,0
H,1,0
H,2,0
H,4,1
A,1,3
D,1,1
A,1,2
H,3,2
H,2,0
H,3,0
H,3,1
H,1,0
D,0,0
D,0,0
A,0,1
H,2,0
A,1,2
A,0,8
H,5,1
D,1,1
A,2,4
A,1,2
H,1,0
H,3,0
H,3,1
D,1,1
A,2,3
A,1,3
A,0,3
H,1,0
H,2,0
H,1,0
H,2,1
H,5,0
H,2,0
A,0,3
H,2,0
D,1,1
H,1,0
H,3,0
H,4,1
H,2,0
H,1,0
H,2,0
H,1,0
A,1,3
A,1,3
A,0,1
H,5,0
H,2,1
D,3,3
A,1,5
D,1,1
A,1,2
A,1,2
H,3,1
A,2,3
A,0,3
D,0,0
H,1,0
H,2,1
H,1,0
A,1,2
A,1,2
H,2,1
D,0,0
A,2,3
H,2,0
H,2,1
A,0,4
D,1,1
A,2,3
D,0,0
H,4,0
A,0,1
H,4,1
H,4,2
D,1,1
H,2,1
A,0,4
A,1,2
H,4,2
H,1,0
D,1,1
H,4,1
H,2,0
H,3,0
H,4,1
H,4,3
H,3,0
H,1,0
H,2,1
H,1,0
A,1,3
H,3,2
H,1,0
H,3,0
A,0,3
D,3,3
H,2,0
A,1,2
A,0,4
H,2,0
A,0,2
A,0,1
H,1,0
D,1,1
H,3,2
H,3,0
H,3,0
H,4,1
D,1,1
A,0,1
D,1,1
H,4,1
D,0,0
H,2,0
A,1,2
H,3,2
D,1,1
D,2,2
H,1,0
H,1,0
H,1,0
H,2,1
A,0,1
H,1,0
H,2,0
D,0,0
A,0,1
D,1,1
H,2,1
A,0,1
H,4,0
H,1,0
D,1,1
H,1,0
D,0,0
A,0,3
D,2,2
H,4,1
D,0,0
A,1,2
D,0,0
H,2,1
D,2,2
H,3,1
A,1,2
H,3,0
H,2,1
A,0,1
H,1,0
D,0,0
D,1,1
D,1,1
D,1,1
H,7,0
H,3,1
H,1,0
A,1,2
H,2,0
A,1,2
H,1,0
A,0,1
A,1,3
H,2,0
H,2,1
H,4,0
D,2,2
H,2,0
H,2,0
D,1,1
H,3,1
D,1,1
A,0,2
D,1,1
D,2,2
A,1,2
H,2,1
H,1,0
H,2,1
A,0,1
H,2,0
H,1,0
A,0,4
A,0,1
A,0,1
A,2,4
A,0,1
A,0,1
A,1,2
H,2,1
H,3,1
A,2,3
H,3,1
A,1,3
A,1,3
D,2,2
